scale,MetricThreshold,num_matches,base,lsq_tiles,lsq,cpd
0.25,5000,958,81.03442,5.81626236443199,7.948662,7.948662
0.25,7500,413,74.4168,5.22974124489196,8.135538,8.135538
0.25,10000,157,69.66919,0.142923670969472,7.47524,7.47524
0.25,2500,1666,72.42591,6.75610399157319,8.533955,8.533955
0.35,5000,1114,78.47113,6.61480246535919,8.399078,8.399078
0.35,7500,548,77.28682,5.37568249928144,7.893822,7.893822
0.35,10000,217,71.49271,1.52112684386445,7.243756,7.243756
0.4,5000,1065,76.95416,7.57699180070384,9.001781,9.001781
0.4,7500,557,77.76615,5.86839067028231,7.996408,7.996408
0.4,10000,211,75.76019,0.181633117888737,8.212812,8.212812
0.45,5000,932,76.87659,10.6193655082887,10.7255,10.7255
0.45,7500,608,77.72411,5.86961045770847,8.050737,8.050737
0.45,10000,224,76.79024,2.114965855001,8.595208,8.595208
0.45,15000,29,87.54348,NaN,5.387334,5.387334
0.45,12500,87,87.53429,NaN,15.28724,15.28724
0.5,7500,945,869.077,153.066946595575,859.4739,859.4739
0.5,12500,163,1252.265,28.2795795625766,1361.043,1361.043
0.5,10000,238,72.00916,1.53798257980783,8.039329,8.039329
0.5,9000,360,76.67578,0.790252272495602,8.53047,8.53047
0.5,11000,194,314.546,2.1113109858965,319.0446,319.0446
